warehouse_width,warehouse_height,num_robots,num_workstations,order_density,total_orders,completed_orders,completion_time,orders_per_step,robot_efficiency,completion_rate,shelf_count,robot_ratio,sample_id
30,50,4,2,0.05,26,24,874,0.02745995423340961,0.006864988558352402,0.9230769230769231,480,0.01,0
30,50,4,2,0.1,60,58,2036,0.02848722986247544,0.00712180746561886,0.9666666666666667,480,0.01,1
30,50,4,2,0.2,92,91,3452,0.026361529548088066,0.0065903823870220165,0.9891304347826086,480,0.01,2
30,50,4,2,0.3,143,140,4556,0.030728709394205442,0.007682177348551361,0.9790209790209791,480,0.01,3
30,50,4,3,0.05,24,21,714,0.029411764705882353,0.007352941176470588,0.875,480,0.01,4
30,50,4,3,0.1,49,46,1631,0.028203556100551808,0.007050889025137952,0.9387755102040817,480,0.01,5
30,50,4,3,0.2,104,103,3759,0.027400904495876562,0.006850226123969141,0.9903846153846154,480,0.01,6
30,50,4,3,0.3,158,155,5455,0.02841429880843263,0.007103574702108158,0.9810126582278481,480,0.01,7
30,50,4,4,0.05,16,14,488,0.028688524590163935,0.007172131147540984,0.875,480,0.01,8
30,50,4,4,0.1,47,43,1566,0.027458492975734355,0.006864623243933589,0.9148936170212766,480,0.01,9
30,50,4,4,0.2,85,82,2918,0.02810143934201508,0.00702535983550377,0.9647058823529412,480,0.01,10
30,50,4,4,0.3,144,142,4721,0.030078373226011437,0.007519593306502859,0.9861111111111112,480,0.01,11
30,50,4,5,0.05,18,15,589,0.025466893039049237,0.006366723259762309,0.8333333333333334,480,0.01,12
30,50,4,5,0.1,41,38,1366,0.027818448023426062,0.006954612005856516,0.926829268292683,480,0.01,13
30,50,4,5,0.2,96,93,3518,0.026435474701534963,0.006608868675383741,0.96875,480,0.01,14
30,50,4,5,0.3,143,141,5160,0.02732558139534884,0.00683139534883721,0.986013986013986,480,0.01,15
30,50,4,6,0.05,25,22,821,0.02679658952496955,0.006699147381242387,0.88,480,0.01,16
30,50,4,6,0.1,39,38,1319,0.02880970432145565,0.007202426080363912,0.9743589743589743,480,0.01,17
30,50,4,6,0.2,106,104,3518,0.029562251279135872,0.007390562819783968,0.9811320754716981,480,0.01,18
30,50,4,6,0.3,145,142,4881,0.02909239909854538,0.007273099774636345,0.9793103448275862,480,0.01,19
30,50,9,2,0.05,32,28,442,0.06334841628959276,0.007038712921065862,0.875,480,0.02,20
30,50,9,2,0.1,55,50,859,0.05820721769499418,0.006467468632777131,0.9090909090909091,480,0.02,21
30,50,9,2,0.2,89,82,1339,0.061239731142643763,0.006804414571404863,0.9213483146067416,480,0.02,22
30,50,9,2,0.3,137,133,2069,0.06428226196230062,0.007142473551366737,0.9708029197080292,480,0.02,23
30,50,9,3,0.05,26,24,467,0.05139186295503212,0.005710206995003569,0.9230769230769231,480,0.02,24
30,50,9,3,0.1,54,49,808,0.06064356435643564,0.006738173817381738,0.9074074074074074,480,0.02,25
30,50,9,3,0.2,85,78,1332,0.05855855855855856,0.0065065065065065065,0.9176470588235294,480,0.02,26
30,50,9,3,0.3,148,143,2352,0.060799319727891155,0.006755479969765684,0.9662162162162162,480,0.02,27
30,50,9,4,0.05,22,21,421,0.0498812351543943,0.0055423594615993665,0.9545454545454546,480,0.02,28
30,50,9,4,0.1,57,54,891,0.06060606060606061,0.006734006734006734,0.9473684210526315,480,0.02,29
30,50,9,4,0.2,95,90,1675,0.05373134328358209,0.005970149253731343,0.9473684210526315,480,0.02,30
30,50,9,4,0.3,152,148,2543,0.0581989775855289,0.006466553065058767,0.9736842105263158,480,0.02,31
30,50,9,5,0.05,26,25,451,0.05543237250554324,0.006159152500615915,0.9615384615384616,480,0.02,32
